Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR28266110,AMPLICON,602,32650072,PRJNA1085262,SAMN40298782,Metagenome or environmental,19788067,CENTRAL SOUTH UNIVERSITY,2022-05-10,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX23876152,China,Asia,China:Yongzhou city,Illumina MiSeq,Abandoned site of iron and manganese smelting,26.6586 N 111.1192 E,LF8,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,LF8_20,SRP494034
SRR28266111,AMPLICON,602,36631098,PRJNA1085262,SAMN40298764,Metagenome or environmental,18952277,CENTRAL SOUTH UNIVERSITY,2022-05-10,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX23876151,China,Asia,China:Shaoyang city,Illumina MiSeq,Abandoned site of iron and manganese mining,27.1894 N 110.4025 E,DK1,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,DK1_20,SRP494034
SRR28266112,AMPLICON,602,33058228,PRJNA1085262,SAMN40298781,Metagenome or environmental,20388008,CENTRAL SOUTH UNIVERSITY,2022-05-10,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX23876150,China,Asia,China:Shaoyang city,Illumina MiSeq,Antimony mine operation area soil,26.6611 N 111.1242 E,LK5,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,LK5_20,SRP494034
SRR28266113,AMPLICON,602,31676036,PRJNA1085262,SAMN40298780,Metagenome or environmental,19446967,CENTRAL SOUTH UNIVERSITY,2022-05-10,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX23876149,China,Asia,China:Yongzhou city,Illumina MiSeq,Abandoned site of iron and manganese smelting,26.6592 N 111.1211 E,LF4,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,LF4_20,SRP494034
SRR28266114,AMPLICON,602,29472114,PRJNA1085262,SAMN40298779,Metagenome or environmental,17824324,CENTRAL SOUTH UNIVERSITY,2022-05-10,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX23876148,China,Asia,China:Shaoyang city,Illumina MiSeq,Antimony mine operation area soil,26.6614 N 111.1214 E,LK2,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,LK2_20,SRP494034
SRR28266115,AMPLICON,602,29591310,PRJNA1085262,SAMN40298778,Metagenome or environmental,18131439,CENTRAL SOUTH UNIVERSITY,2022-05-10,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX23876147,China,Asia,China:Shaoyang city,Illumina MiSeq,Antimony mine operation area soil,26.6619 N 111.1197 E,LK1,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,LK1_20,SRP494034
SRR28266116,AMPLICON,602,33375482,PRJNA1085262,SAMN40298777,Metagenome or environmental,19147305,CENTRAL SOUTH UNIVERSITY,2022-09-25,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX23876146,China,Asia,China:Chenzhou city,Illumina MiSeq,Lead-zinc tailings soil,25.7386 N 113.1056 E,HNA_S3,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,HNA_S3_20,SRP494034
SRR28266117,AMPLICON,602,37304134,PRJNA1085262,SAMN40298776,Metagenome or environmental,21487411,CENTRAL SOUTH UNIVERSITY,2022-09-25,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX23876145,China,Asia,China:Chenzhou city,Illumina MiSeq,Lead-zinc tailings soil,25.7383 N 113.1066 E,HNA_S2,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,HNA_S2_20,SRP494034
SRR28266118,AMPLICON,602,23443686,PRJNA1085262,SAMN40298775,Metagenome or environmental,13432948,CENTRAL SOUTH UNIVERSITY,2022-09-25,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX23876144,China,Asia,China:Chenzhou city,Illumina MiSeq,Lead-zinc tailings soil,25.7384 N 113.1056 E,HNA_S1,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,HNA_S1_20,SRP494034
SRR28266119,AMPLICON,602,26011818,PRJNA1085262,SAMN40298774,Metagenome or environmental,16045698,CENTRAL SOUTH UNIVERSITY,2022-05-09,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX23876143,China,Asia,China:Yongzhou city,Illumina MiSeq,Manganese mine surface soil,25.5289 N 111.7269 E,DX4,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,DX4_20,SRP494034
SRR28266120,AMPLICON,602,35549906,PRJNA1085262,SAMN40298773,Metagenome or environmental,21996968,CENTRAL SOUTH UNIVERSITY,2022-05-09,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX23876142,China,Asia,China:Yongzhou city,Illumina MiSeq,Manganese mine surface soil,25.5286 N 111.7269 E,DX3,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:41:00Z,1,DX3_20,SRP494034
SRR28266121,AMPLICON,602,33084114,PRJNA1085262,SAMN40298772,Metagenome or environmental,20097930,CENTRAL SOUTH UNIVERSITY,2022-05-09,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX23876141,China,Asia,China:Yongzhou city,Illumina MiSeq,Manganese mine surface soil,25.5256 N 111.6967 E,DX2,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,DX2_20,SRP494034
SRR28266122,AMPLICON,602,33382104,PRJNA1085262,SAMN40298763,Metagenome or environmental,20346998,CENTRAL SOUTH UNIVERSITY,2022-05-11,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX23876140,China,Asia,China:Shaoyang city,Illumina MiSeq,Surface soil of farmland near the ore treatment plant,27.3347 N 111.4648 E,CZ4,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,CZ4_20,SRP494034
SRR28266123,AMPLICON,602,33799892,PRJNA1085262,SAMN40298762,Metagenome or environmental,20598827,CENTRAL SOUTH UNIVERSITY,2022-05-11,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX23876139,China,Asia,China:Shaoyang city,Illumina MiSeq,Surface soil near the ore treatment plant,27.3287 N 111.4049 E,CZ3,SINGLE,PCR,METAGENOMIC,tailings metagenome,ILLUMINA,2024-03-07T00:00:00Z,2024-03-07T19:40:00Z,1,CZ3_20,SRP494034
